publish,ID,type_01,@icon,@icon_bg,@divider,initiative,name,variant,cd_duration,@effect_01,@effect_02,major,@spending_icon_01,spending_text_01,@spending_icon_02,spending_text_02,@spending_icon_03,spending_text_03,minor
x,a118,Meta,/images/combattechniques-icon.png,/images/combattechniques-icon-bg.png,/images/basicvariant-divider.png,1,Combat Techniques,Basic Variant,5,/images/interrupt.png,/images/ongoing-effect.png,"##Interrupt(end_int)  Re-roll two dice during your defense or attack.    ##Ongoing(end_on)  While the effect lasts, you may use the below spending options on your attacks.",/images/star-icon.png,Cooldown -1 on the just used card.,/images/plus-icon.png,+1 Power.,,,Add (Blessing Die) (Blessing Die) to your next attack this turn.
x,a119,Meta,/images/combattechniques-icon.png,/images/combattechniques-icon-bg.png,/images/alphavariant-divider.png,1,Combat Techniques,Alpha Variant,5,/images/interrupt.png,/images/ongoing-effect.png,"##Interrupt(end_int)  Re-roll up to three dice during your defense or attack.    ##Ongoing(end_on)  While the effect lasts, you may use the below spending options on your attacks.",/images/star-icon.png,Cooldown -1 on the just used card.,/images/doubleplus-icon.png,Cause Bleed (2).,/images/plus-icon.png,+1 Power.,Add (Blessing Die) (Blessing Die) to your next attack this turn.
x,a120,Meta,/images/combattechniques-icon.png,/images/combattechniques-icon-bg.png,/images/betavariant-divider.png,1,Combat Techniques,Beta Variant,4,/images/ongoing-effect.png,,"##Ongoing(end_on)  While the effect lasts, you may use the below spending options on your attacks.",/images/star-icon.png,Cooldown -2 on the just used card.,/images/plus-icon.png,+1 Power.,/images/plus-icon.png,+2 Power.,Add (Blessing Die) (Blessing Die) to your next attack this turn.
x,a121,Meta,/images/coordinatingcommand-icon.png,/images/coordinatingcommand-icon-bg.png,/images/basicvariant-divider.png,3,Coordinating Command,Basic Variant,3,/images/interrupt.png,,##Interrupt(end_int)  Add (Plus) to an ally's current roll.  Then you roll (Enhancement Die) and you may use the below spending options.,/images/star-icon.png,Cooldown -2.,/images/plus-icon.png,Cooldown -1.,/images/numbers-icon.png,Also add (Star) to the ally's roll.,Move an ally by 1 square.  Move (2)
x,a122,Meta,/images/coordinatingcommand-icon.png,/images/coordinatingcommand-icon-bg.png,/images/alphavariant-divider.png,4,Coordinating Command,Alpha Variant,3,/images/interrupt.png,,##Interrupt(end_int)  Add (Plus) to an ally's current roll.  Then you roll (Enhancement Die) and you may use the below spending options.,/images/star-icon.png,Cooldown -3.,/images/plus-icon.png,Cooldown -3.,/images/numbers-icon.png,Also add (Star) to the ally's roll.,Move an ally by 1 square.  Move (2)
x,a123,Meta,/images/coordinatingcommand-icon.png,/images/coordinatingcommand-icon-bg.png,/images/betavariant-divider.png,6,Coordinating Command,Beta Variant,3,/images/interrupt.png,,##Interrupt(end_int)  Add (Plus) or +1 Power to an ally's current roll.  Then you roll (Enhancement Die) and you may use the below spending options.,/images/star-icon.png,Cooldown -2.,/images/plus-icon.png,Cooldown -1.,/images/numbers-icon.png,Also add (Star) to the ally's roll.,Move an ally by 1 square.  Move (2)
x,a124,Meta,/images/firstaid-icon.png,/images/firstaid-icon-bg.png,/images/basicvariant-divider.png,1,First Aid,Basic Variant,4,,,Roll only (Enhancement Die) (Blessing Die).  The total power is the amount of scratches that you can heal from yourself or an adjacent ally. You may use the below spending options on that roll.,/images/star-icon.png,+3 Power.,/images/plus-icon.png,+1 Power.,/images/plus-icon.png,"+2 Power OR if target has no scratches after First Aid heals scratches, also heal one wound.",Move (1)  Heal 1 scratch from an adjacent ally.
x,a125,Meta,/images/firstaid-icon.png,/images/firstaid-icon-bg.png,/images/alphavariant-divider.png,1,First Aid,Alpha Variant,4,,,Roll only (Power Die) (Blessing Die).  The total power is the amount of scratches that you can heal from yourself and adjacent allies. Distribute the total amount of scratches healed among your targets as you like. You may use the below spending options on that roll.,/images/plus-icon.png,+1 Power.,/images/plus-icon.png,+2 Power.,/images/plus-icon.png,+2 Power.,Heal 1 scratch from yourself and an adjacent ally.
x,a126,Meta,/images/firstaid-icon.png,/images/firstaid-icon-bg.png,/images/betavariant-divider.png,1,First Aid,Beta Variant,4,,,Roll only (Enhancement Die) (Blessing Die).  The total power is the amount of scratches that you can heal from yourself or an adjacent ally. You may use the below spending options on that roll.,/images/star-icon.png,+1 Power or heal a wound.,/images/doubleplus-icon.png,+1 Power or heal a wound.,/images/plus-icon.png,"+2 Power OR if target has no scratches after First Aid heals scratches, also heal one wound.",Move (1)  Heal 1 scratch from an adjacent ally.
x,a127,Meta,/images/grouptactics-icon.png,/images/grouptactics-icon-bg.png,/images/basicvariant-divider.png,5,Group Tactics,Basic Variant,2,/images/interrupt.png,,Move every ally (including yourself) by up to 2 squares.  ##Interrupt(end_int)  Allow an ally (or yourself) to change their initiative by up to 2 steps.,,,,,,,"Attack, add (Cursed Die).  Allow an ally to attack, they add (Cursed Die)."
x,a128,Meta,/images/grouptactics-icon.png,/images/grouptactics-icon-bg.png,/images/alphavariant-divider.png,5,Group Tactics,Alpha Variant,2,/images/interrupt.png,,Move every ally (including yourself) by up to 3 squares.  ##Interrupt(end_int)  Allow an ally (or yourself) to change their initiative by up to 3 steps.,,,,,,,"Attack, add (Cursed Die).  Allow an ally to attack, they add (Cursed Die)."
x,a129,Meta,/images/grouptactics-icon.png,/images/grouptactics-icon-bg.png,/images/betavariant-divider.png,3,Group Tactics,Beta Variant,2,/images/interrupt.png,,Move every ally (including yourself) by up to 2 squares and remove one scratch from one of the targets.  ##Interrupt(end_int)  Allow an ally (or yourself) to change their initiative by up to 2 steps.,,,,,,,"Attack, add (Cursed Die).  Allow an ally to attack, they add (Cursed Die)."
x,a130,Meta,/images/growingrage-icon.png,/images/growingrage-icon-bg.png,/images/basicvariant-divider.png,3,Growing Rage,Basic Variant,3,/images/ongoing-effect.png,,"##Ongoing(end_on)  Whenever you finish off an enemy, place a token on this card. Once you have two tokens, you may perform a free melee attack at any time, adding (Power Die) (Power Die). Then turn this card face down.",,,,,,,"Attack, and you may add (Power Die) for each 2 scratches you are willing to suffer."
x,a131,Meta,/images/growingrage-icon.png,/images/growingrage-icon-bg.png,/images/alphavariant-divider.png,3,Growing Rage,Alpha Variant,3,/images/ongoing-effect.png,,"##Ongoing(end_on)  Whenever you finish off an enemy, place a token on this card. Once you have two tokens, you may spend them to perform a free melee attack at any time, adding (Power Die) (Power Die).",,,,,,,"Attack, and you may add (Power Die) for each 2 scratches you are willing to suffer."
x,a132,Meta,/images/growingrage-icon.png,/images/growingrage-icon-bg.png,/images/betavariant-divider.png,3,Growing Rage,Beta Variant,2,/images/ongoing-effect.png,,"##Ongoing(end_on)  Whenever you finish off an enemy, extend the duration of this effect by +1. While this effect is active, add (Blessing Die) to your attacks. If this card is at duration 4 or 5, add (Power Die) instead, but also add (Cursed Die) (Cursed Die) to defense.",,,,,,,"Attack, and you may add (Power Die) for each 2 scratches you are willing to suffer."
x,a133,Meta,/images/haste-icon.png,/images/haste-icon-bg.png,/images/basicvariant-divider.png,4,Haste,Basic Variant,5,/images/interrupt.png,,##Interrupt(end_int)  Allow an ally to play a minor action from their hand. They do not get the cooldown reduction from that minor action.,,,,,,,Allow an ally to either Move (2) or perform an attack.
x,a134,Meta,/images/haste-icon.png,/images/haste-icon-bg.png,/images/alphavariant-divider.png,5,Haste,Alpha Variant,5,/images/interrupt.png,,##Interrupt(end_int)  Allow up to two heroes (including yourself) to play minor action from their hand. They do not get the cooldown reduction from those minor actions.,,,,,,,Allow an ally to either Move (2) or perform an attack.
x,a135,Meta,/images/haste-icon.png,/images/haste-icon-bg.png,/images/betavariant-divider.png,4,Haste,Beta Variant,4,/images/interrupt.png,,##Interrupt(end_int)  Allow an ally to play a minor action from their hand. They do not get the cooldown reduction from that minor action.    Then reduce the cooldown of one of their cards by 1.,,,,,,,Allow an ally to either Move (2) or perform an attack.
x,a136,Meta,/images/heroicopportunity-icon.png,/images/heroicopportunity-icon-bg.png,/images/basicvariant-divider.png,3,Heroic Opportunity,Basic Variant,5,/images/interrupt.png,,##Interrupt(end_int)  Reduce one of your cooldowns by 2.,,,,,,,"Play a minor action from your hand, but don't get a cooldown reduction from it in addition."
x,a137,Meta,/images/heroicopportunity-icon.png,/images/heroicopportunity-icon-bg.png,/images/alphavariant-divider.png,3,Heroic Opportunity,Alpha Variant,5,/images/interrupt.png,,"##Interrupt(end_int)  Reduce one of your cooldowns by 2.  Then either Move (2) (gain Slippery) - or - perform a free attack, adding (Cursed Die) (Cursed Die).",,,,,,,"Play a minor action from your hand, but don't get a cooldown reduction from it in addition."
x,a138,Meta,/images/heroicopportunity-icon.png,/images/heroicopportunity-icon-bg.png,/images/betavariant-divider.png,5,Heroic Opportunity,Beta Variant,4,/images/interrupt.png,,"##Interrupt(end_int)  You may spend (Plus) on one of your attack, spellcasting or defense rolls to add +2 Power.",,,,,,,"Play a minor action from your hand, but don't get a cooldown reduction from it in addition."
x,a139,Meta,/images/ignorepain-icon.png,/images/ignorepain-icon-bg.png,/images/basicvariant-divider.png,1,Ignore Pain,Basic Variant,5,/images/ongoing-effect.png,,"##Ongoing(end_on)  Before performing a defense roll, you may decrease the duration of this ability by 1 to decrease the incoming attack value by 1.",,,,,,,"Attack, add (Blessing Die) for each scratch that you have."
x,a140,Meta,/images/ignorepain-icon.png,/images/ignorepain-icon-bg.png,/images/alphavariant-divider.png,1,Ignore Pain,Alpha Variant,5,/images/ongoing-effect.png,,"##Ongoing(end_on)  Before performing a defense roll, you may decrease the duration of this ability by 1 to decrease the incoming attack value by 1.  This effect does not automatically decrease its duration at the beginning of each round.",,,,,,,"Attack, add (Blessing Die) for each scratch that you have."
x,a141,Meta,/images/ignorepain-icon.png,/images/ignorepain-icon-bg.png,/images/betavariant-divider.png,1,Ignore Pain,Beta Variant,2,/images/interrupt.png,,##Interrupt(end_int)  Prevent one scratch against yourself.,,,,,,,"Attack, add (Blessing Die) for each scratch that you have."
x,a142,Meta,/images/imbuingwords-icon.png,/images/imbuingwords-icon-bg.png,/images/basicvariant-divider.png,2,Imbuing Words,Basic Variant,3,,,Reduce the duration of an ongoing effect from yourself or an ally within range 5 by 2.,,,,,,,Move an ally by 3 squares.
x,a143,Meta,/images/imbuingwords-icon.png,/images/imbuingwords-icon-bg.png,/images/alphavariant-divider.png,3,Imbuing Words,Alpha Variant,4,,,Reduce the duration of an ongoing effect from up to two heroes within range 5 by 2 each (you may choose yourself).,,,,,,,Move an ally by 2 squares.  Add (Blessing Die) (Blessing Die) to their next roll this round.
x,a144,Meta,/images/imbuingwords-icon.png,/images/imbuingwords-icon-bg.png,/images/betavariant-divider.png,1,Imbuing Words,Beta Variant,2,,,Remove a negative ongoing effect from yourself or an ally within range 5.,,,,,,,Move an ally by 3 squares.
x,a145,Meta,/images/improvise-icon.png,/images/improvise-icon-bg.png,/images/basicvariant-divider.png,1,Improvise,Basic Variant,4,,,"Roll a single (Enhancement Die) and use the below spending options.    Take the corresponding item from the item deck, then reshuffle it.",/images/star-icon.png,Obtain 'Bandages'.,/images/plus-icon.png,Obtain 'Bandages'.,/images/numbers-icon.png,Obtain 'Talisman'.,Remove a scratch from yourself or an adjacent ally.
x,a146,Meta,/images/improvise-icon.png,/images/improvise-icon-bg.png,/images/alphavariant-divider.png,1,Improvise,Alpha Variant,3,,,"Roll two (Enhancement Die) and choose one result between the two dice. Use the below spending options.    Take the corresponding item from the item deck, then reshuffle it.",/images/star-icon.png,Obtain 'Energizing Concoction'.,/images/plus-icon.png,Obtain 'Bandages'.,/images/numbers-icon.png,Obtain 'Talisman'.,Remove a scratch from yourself or an adjacent ally.
x,a147,Meta,/images/improvise-icon.png,/images/improvise-icon-bg.png,/images/betavariant-divider.png,1,Improvise,Beta Variant,4,,,Draw cards from the Pile Of Items until you discovered two consumable items. Pick and keep one of those two consumables.,,,,,,,Remove a scratch from yourself or an adjacent ally.
x,a148,Meta,/images/inspire-icon.png,/images/inspire-icon-bg.png,/images/basicvariant-divider.png,1,Inspire,Basic Variant,3,,,##Interrupt(end_int)  Allow an ally to re-roll one die from their current roll.    Then roll a single (Enhancement Die) and use the below spending options.,/images/star-icon.png,Cooldown -2.,/images/plus-icon.png,Cooldown -1.,/images/numbers-icon.png,Allow them to re-roll a second die.,Move an ally by 2 squares.  Move (2)
x,a149,Meta,/images/inspire-icon.png,/images/inspire-icon-bg.png,/images/alphavariant-divider.png,1,Inspire,Alpha Variant,2,,,##Interrupt(end_int)  Allow an ally to re-roll up to two dice from their current roll.,,,,,,,Move an ally by 2 squares.  Move (2)
x,a150,Meta,/images/inspire-icon.png,/images/inspire-icon-bg.png,/images/betavariant-divider.png,1,Inspire,Beta Variant,3,,,##Interrupt(end_int)  Allow an ally to change the rolled result of one (Standard Die) to any result of their choice.,,,,,,,Move an ally by 2 squares.  Move (2)
x,a151,Meta,/images/intensifiedchanneling-icon.png,/images/intensifiedchanneling-icon-bg.png,/images/basicvariant-divider.png,1,Intensified Channeling,Basic Variant,1,,,"On your next spellcasting test this round, you can re-roll any number of dice once and keep the new result.",,,,,,,Reduce the cooldown of one of your spells by 2.
x,a152,Meta,/images/intensifiedchanneling-icon.png,/images/intensifiedchanneling-icon-bg.png,/images/alphavariant-divider.png,1,Intensified Channeling,Alpha Variant,4,,,"On your next spellcasting test this round, you can re-roll any number of dice once and keep the new result.    After re-rolling, you may change one of your dice to a face of your choice.",,,,,,,Reduce the cooldown of one of your spells by 2.
x,a153,Meta,/images/intensifiedchanneling-icon.png,/images/intensifiedchanneling-icon-bg.png,/images/betavariant-divider.png,1,Intensified Channeling,Beta Variant,1,,,"On your next spellcasting test this round, you can re-roll any number of dice once and keep the new result.    Also heal one scratch from yourself.",,,,,,,Reduce the cooldown of one of your spells by 2.
x,a154,Meta,/images/leadership-icon.png,/images/leadership-icon-bg.png,/images/basicvariant-divider.png,5,Leadership,Basic Variant,3,,,"Increase the current duration of an ally's ongoing effect by +2 if it has an unmodified base duration of 2 or less, otherwise you increase it by +3.",,,,,,,Move any allies or yourself for a total of 3 squares. Distribute as you like.
x,a155,Meta,/images/leadership-icon.png,/images/leadership-icon-bg.png,/images/alphavariant-divider.png,5,Leadership,Alpha Variant,4,/images/ongoing-effect.png,,"##Ongoing(end_on)  At the beginnning of each round, prevent one ally's ongoing effect from having its duration reduced.    Do this before reducing this effect's duration.",,,,,,,Move any allies or yourself for a total of 3 squares. Distribute as you like.
x,a156,Meta,/images/leadership-icon.png,/images/leadership-icon-bg.png,/images/betavariant-divider.png,6,Leadership,Beta Variant,3,/images/interrupt.png,,##Interrupt(end_int)  Immediately refresh the duration of an ally's ongoing effect by resetting it back to it's unmodified base duration.,,,,,,,Move any allies or yourself for a total of 3 squares. Distribute as you like.
x,a157,Meta,/images/lightningreflexes-icon.png,/images/lightningreflexes-icon-bg.png,/images/basicvariant-divider.png,6,Lightning Reflexes,Basic Variant,4,/images/interrupt.png,/images/ongoing-effect.png,"##Interrupt(end_int)  Add +2 power to your defense.    ##Ongoing(end_on)  Each round, choose freely at each initiative step if you wish to have your turn, latest at step 0. While the effect lasts, you are considered to have the highest initiative.",,,,,,,Move (2) (gain Slippery)
x,a158,Meta,/images/lightningreflexes-icon.png,/images/lightningreflexes-icon-bg.png,/images/alphavariant-divider.png,6,Lightning Reflexes,Alpha Variant,4,/images/interrupt.png,/images/ongoing-effect.png,##Interrupt(end_int)  Add +2 power to your defense.    ##Ongoing(end_on)  Increase your initiative by up to +2.  You may use the interrupt effect even while this card is an ongoing effect (in which case you put the card on cooldown equal to the current duration).,,,,,,,Move (2) (gain Slippery)
x,a159,Meta,/images/lightningreflexes-icon.png,/images/lightningreflexes-icon-bg.png,/images/betavariant-divider.png,6,Lightning Reflexes,Beta Variant,4,/images/interrupt.png,,##Interrupt(end_int)  Add +3 power to your defense OR add (Star) to it.,,,,,,,Move (2) (gain Slippery)
x,a160,Meta,/images/mirroringtechnique-icon.png,/images/mirroringtechnique-icon-bg.png,/images/basicvariant-divider.png,2,Mirroring Technique,Basic Variant,X,/images/interrupt.png,,"When performing this major action, treat it like any one major action on your hand (except ongoing effects). The cooldown is equal to the copied card's cooldown.",,,,,,,Move (3)  OR  Attack
x,a161,Meta,/images/mirroringtechnique-icon.png,/images/mirroringtechnique-icon-bg.png,/images/alphavariant-divider.png,2,Mirroring Technique,Alpha Variant,X,/images/interrupt.png,,"When performing this major action, treat it like any one major action on your hand or that you have on cooldown - you cannot copy an ongoing effect. The cooldown is equal to the copied card's cooldown.",,,,,,,Move (3)  OR  Attack
x,a162,Meta,/images/mirroringtechnique-icon.png,/images/mirroringtechnique-icon-bg.png,/images/betavariant-divider.png,6,Mirroring Technique,Beta Variant,X,/images/interrupt.png,,"When performing this major action, treat it like any one major action that one of your allies has placed for this round. The cooldown is equal to the copied card's cooldown.",,,,,,,Attack OR allow an ally to perform an attack.
x,a163,Meta,/images/rushin-icon.png,/images/rushin-icon-bg.png,/images/basicvariant-divider.png,5,Rush In,Basic Variant,5,/images/interrupt.png,,"##Interrupt(end_int)  Move (3), then play a minor action from your hand (you don't get to reduce cooldowns from it).",,,,,,,Move (2)  Grant an adjacent ally (Blessing Die) on their next roll this round.
x,a164,Meta,/images/rushin-icon.png,/images/rushin-icon-bg.png,/images/alphavariant-divider.png,6,Rush In,Alpha Variant,4,/images/interrupt.png,,"##Interrupt(end_int)  If an ally is about to get attacked, Move (3) (gain Slippery), then become the new target if you are adjacent to that enemy or if your new position crosses the line-of-sight in case of a ranged attack.",,,,,,,Move (2)  Grant an adjacent ally (Blessing Die) (Blessing Die) on their next defense roll this round.
x,a165,Meta,/images/rushin-icon.png,/images/rushin-icon-bg.png,/images/betavariant-divider.png,5,Rush In,Beta Variant,3,/images/interrupt.png,,##Interrupt(end_int)  Move (3)  Pull (2),,,,,,,Move (2)  Grant an adjacent ally (Blessing Die) on their next roll this round.
x,a166,Meta,/images/savingwarning-icon.png,/images/savingwarning-icon-bg.png,/images/basicvariant-divider.png,4,Saving Warning,Basic Variant,5,/images/interrupt.png,,"##Interrupt(end_int)  If an ally within range 5 takes a wound, you can prevent it, as well as any scratches that would otherwise overflow.  They remain at a maximum amount of scratches for that bar.",,,,,,,Grant an ally (Blessing Die) (Blessing Die)  on their next defense roll this round.
x,a167,Meta,/images/savingwarning-icon.png,/images/savingwarning-icon-bg.png,/images/alphavariant-divider.png,6,Saving Warning,Alpha Variant,5,/images/interrupt.png,,"##Interrupt(end_int)  If an ally within range 5 takes a wound, you can prevent it, as well as any scratches that would otherwise overflow.  They remain at a maximum amount of scratches for that bar.  Then you heal them for 2 scratches.",,,,,,,Grant an ally (Blessing Die) (Blessing Die)  on their next defense roll this round.
x,a168,Meta,/images/savingwarning-icon.png,/images/savingwarning-icon-bg.png,/images/betavariant-divider.png,4,Saving Warning,Beta Variant,4,/images/interrupt.png,,"##Interrupt(end_int)  If an ally within range 8 takes a wound, you can prevent it, as well as any scratches that would otherwise overflow.  They remain at a maximum amount of scratches for that bar.  For the remainder of the round, they add (Blessing Die) to their defense.",,,,,,,Grant an ally (Blessing Die) (Blessing Die)  on their next defense roll this round.
x,a169,Meta,/images/scavenge&craft-icon.png,/images/scavenge&craft-icon-bg.png,/images/basicvariant-divider.png,1,Scavenge & Craft,Basic Variant,5,,,"Remove one 'Wear' token from an adjacent ally's item or your own.    Alternatively, draw a card from the pile of items (or a tier 0 improvised item of your choice) and only keep it if it has a value of 20 or less.",,,,,,,Move (3)
x,a170,Meta,/images/scavenge&craft-icon.png,/images/scavenge&craft-icon-bg.png,/images/alphavariant-divider.png,1,Scavenge & Craft,Alpha Variant,5,,,Remove one 'Wear' token from an adjacent ally's item or your own.  Alternatively toll (Power Die). Multiply the value shown by 10. Treat (PlusPlus) as a value of 40.    Draw a card from the pile of items (or a tier 0 improvised item of your choice) and only keep it if it has a value of the above result or less.,,,,,,,Move (3)
x,a171,Meta,/images/scavenge&craft-icon.png,/images/scavenge&craft-icon-bg.png,/images/betavariant-divider.png,1,Scavenge & Craft,Beta Variant,5,,,"Remove up to two 'Wear' tokens from one adjacent ally's item or your own.    Alternatively, draw a card from the pile of items (or a tier 0 improvised item of your choice) and only keep it if it has a value of 30 or less.",,,,,,,Move (3)
x,a172,Meta,/images/spontaneousmagick-icon.png,/images/spontaneousmagick-icon-bg.png,/images/basicvariant-divider.png,6,Spontaneous Magick,Basic Variant,5,/images/interrupt.png,,"##Interrupt(end_int)  Immediately play a spell from your hand and resolve it as usual, but add (Cursed Die) (Cursed Die) to the spellcasting roll.",,,,,,,Add (Blessing Die) (Blessing Die) to your next roll using your spellcasting dice pool roll this round.
x,a173,Meta,/images/spontaneousmagick-icon.png,/images/spontaneousmagick-icon-bg.png,/images/alphavariant-divider.png,6,Spontaneous Magick,Alpha Variant,5,/images/interrupt.png,,##Interrupt(end_int)  Immediately play a spell from your hand and resolve it as usual.,,,,,,,Add (Blessing Die) (Blessing Die) to your next roll using your spellcasting dice pool roll this round.
x,a174,Meta,/images/spontaneousmagick-icon.png,/images/spontaneousmagick-icon-bg.png,/images/betavariant-divider.png,6,Spontaneous Magick,Beta Variant,3,/images/interrupt.png,,"##Interrupt(end_int)  Immediately play a spell from your hand and resolve it as usual, but add (Cursed Die) (Cursed Die) to the spellcasting roll.",,,,,,,Add (Blessing Die) (Blessing Die) to your next roll using your spellcasting dice pool roll this round.
x,a175,Meta,/images/stealth-icon.png,/images/stealth-icon-bg.png,/images/basicvariant-divider.png,6,Stealth,Basic Variant,2,/images/ongoing-effect.png,,"##Ongoing(end_on)  While active, enemies ignore you as a viable target. Turn this effect face down when you attack or use a 'spell' type card, but add (Standard Die) (Power Die) to your first melee attack from out of stealth.",,,,,,,Move (2) (gain Slippery and Nimble)
x,a176,Meta,/images/stealth-icon.png,/images/stealth-icon-bg.png,/images/alphavariant-divider.png,6,Stealth,Alpha Variant,3,/images/ongoing-effect.png,,"##Ongoing(end_on)  While active, enemies ignore you as a viable target. Take this card back into your hand when you attack or use a 'spell' type card, but add (Standard Die) (Power Die) to your first melee attack from out of stealth.",,,,,,,Move (2) (gain Slippery and Nimble)
x,a177,Meta,/images/stealth-icon.png,/images/stealth-icon-bg.png,/images/betavariant-divider.png,6,Stealth,Beta Variant,2,/images/ongoing-effect.png,,"##Ongoing(end_on)  While active, enemies ignore you as a viable target and you gain Nimble. Turn this effect face down when you attack or use a 'spell' type card, but add (Standard Die) (Power Die) to your first melee attack from out of stealth.  You may use the below spending option on that attack.",/images/plus-icon.png,+3 Power if there is an ally on the opposing square of the target.,,,,,Move (2) (gain Slippery and Nimble)
x,a178,Meta,/images/superiororder-icon.png,/images/superiororder-icon-bg.png,/images/basicvariant-divider.png,4,Superior Order,Basic Variant,1,,,Grant (Power Die) (Blessing Die) to the first allied minion to attack this round.,,,,,,,Heal four scratches from a minion within range 5.
x,a179,Meta,/images/superiororder-icon.png,/images/superiororder-icon-bg.png,/images/alphavariant-divider.png,6,Superior Order,Alpha Variant,2,,,Grant (Power Die) (Blessing Die) to the first two allied minions to attack this round.,,,,,,,Heal four scratches from a minion within range 5.
x,a180,Meta,/images/superiororder-icon.png,/images/superiororder-icon-bg.png,/images/betavariant-divider.png,4,Superior Order,Beta Variant,1,,,"Grant (Power Die) (Blessing Die) to the first allied minion to attack this round.    Additionally, move all minions by up to 4 squares each (and grant Slippery).",,,,,,,Heal four scratches from a minion within range 5.
x,a181,Meta,/images/taunt-icon.png,/images/taunt-icon-bg.png,/images/basicvariant-divider.png,6,Taunt,Basic Variant,3,/images/ongoing-effect.png,,"##Ongoing(end_on)  Declare an enemy model. While the effect lasts, the targeted enemy will prioritize you as their target whenever possible.",,,,,,,Cause Dazed against an adjacent enemy.
x,a182,Meta,/images/taunt-icon.png,/images/taunt-icon-bg.png,/images/alphavariant-divider.png,6,Taunt,Alpha Variant,4,/images/ongoing-effect.png,,"##Ongoing(end_on)  Declare an enemy model. While the effect lasts, the targeted enemy will prioritize you as their target whenever possible.    You may end this effect at any time and take it back into your hand.",,,,,,,Cause Dazed against an adjacent enemy.
x,a183,Meta,/images/taunt-icon.png,/images/taunt-icon-bg.png,/images/betavariant-divider.png,6,Taunt,Beta Variant,2,/images/ongoing-effect.png,,"##Ongoing(end_on)  Declare two enemy models. While the effect lasts, the targeted enemies will prioritize you as their target whenever possible.",,,,,,,Cause Dazed against an adjacent enemy.
x,a184,Meta,/images/trap-icon.png,/images/trap-icon-bg.png,/images/basicvariant-divider.png,4,Trap,Basic Variant,2,/images/ongoing-effect.png,,"##Ongoing(end_on)  Place a trap token within range 2. If an enemy moves onto it, it gets removed.  Then roll (Power Die) (Power Die) (Power Die) (minus one die for each remaining round of duration) and deal that as damage.  Add Power to the damage equal to the current chapter tier.",,,,,,,The first enemy that ends their movement adjacent to you this round suffers a wound.
x,a185,Meta,/images/trap-icon.png,/images/trap-icon-bg.png,/images/alphavariant-divider.png,1,Trap,Alpha Variant,2,/images/ongoing-effect.png,,"##Ongoing(end_on)  Place a trap token within range 2. If an enemy moves onto it, it gets removed.  Then roll (Power Die) (Power Die) (Power Die) and deal that as damage.  Add Power to the damage equal to the current chapter tier.",,,,,,,The first enemy that ends their movement adjacent to you this round suffers a wound.
x,a186,Meta,/images/trap-icon.png,/images/trap-icon-bg.png,/images/betavariant-divider.png,4,Trap,Beta Variant,2,/images/ongoing-effect.png,,"##Ongoing(end_on)  Place two trap tokens within range 2. If an enemy moves onto one, it gets removed.  Then roll (Power Die) (Power Die) (Power Die) (minus one die for each remaining round of duration) and deal that as damage.  Add Power to the damage equal to the current chapter tier.",,,,,,,The first enemy that ends their movement adjacent to you this round suffers a wound.
x,a187,Meta,/images/treatwound-icon.png,/images/treatwound-icon-bg.png,/images/basicvariant-divider.png,2,Treat Wound,Basic Variant,4,/images/ongoing-effect.png,,"##Ongoing(end_on)  Declare an adjacent ally when playing this card.  While the effect lasts, they ignore (Cursed Die) from wounds.  Once the effect ends, that ally gets one wound healed (but keeps scratches).",,,,,,,Move (2)
x,a188,Meta,/images/treatwound-icon.png,/images/treatwound-icon-bg.png,/images/alphavariant-divider.png,2,Treat Wound,Alpha Variant,4,/images/ongoing-effect.png,,"##Ongoing(end_on)  Declare an adjacent ally when playing this card.  While the effect lasts, they ignore (Cursed Die) from wounds.  Once the effect ends, that ally gets one wound and all scratches healed.",,,,,,,Move (2)
x,a189,Meta,/images/treatwound-icon.png,/images/treatwound-icon-bg.png,/images/betavariant-divider.png,4,Treat Wound,Beta Variant,3,,,An adjacent ally gets one wound healed (but keeps scratches).,,,,,,,Move (2)
x,a190,Ranged,/images/cripplingshot-icon.png,/images/cripplingshot-icon-bg.png,/images/basicvariant-divider.png,4,Crippling Shot,Basic Variant,2,,,"Ranged Attack, add (Enhancement Die).",/images/plus-icon.png,+2 Power.,/images/plus-icon.png,Cause Cripple.,,,Ranged Attack  Move (1)
x,a191,Ranged,/images/cripplingshot-icon.png,/images/cripplingshot-icon-bg.png,/images/alphavariant-divider.png,4,Crippling Shot,Alpha Variant,2,,,"Ranged Attack, add (Enhancement Die).",/images/doubleplus-icon.png,Cause Stun and Weaken.,/images/plus-icon.png,+2 Power.,/images/plus-icon.png,Cause Cripple.,Ranged Attack  Move (1)
x,a192,Ranged,/images/cripplingshot-icon.png,/images/cripplingshot-icon-bg.png,/images/betavariant-divider.png,6,Crippling Shot,Beta Variant,2,,,"Ranged Attack, add (Enhancement Die).",/images/star-icon.png,+3 Power.,/images/plus-icon.png,Cause Knockback (3).,/images/plus-icon.png,Cause Cripple.,Ranged Attack  Move (1)
